Author,Sample,Country,N,IV,DV ,Ivmeasure,Dvmeasure,r.xx,r.yy,Numerical data,r,Effect of exposure,Design,Stress,Exposure,Notes,Link to Article,other
Lewis & Manusov (2009),college students in upper-level communication,USA,82,Exposure time in days,Stress,number of reported minutes spent listening,"Negative distress index: ""Six negative emotions (depression, guilt, anger, hate, frustration, and resentment)""",,0.72,,0.39,Y,Correlational,NA,ST,,https://www.dropbox.com/s/w2klmy2oupi9t76/Lewis%20%26%20Manusov%2C%202009%20--%20Listening%20to%20Another%27s%20Distress%20in%20Everyday%20Relationships.pdf?dl=0,
Altabef et al. (2017),therapist- split between students currently in graduate school and practitioners in the field .,unknown,71,exposure to emotional distress,changes in NA for AL (active listening) vs NON-AL pre and post distress,viewing distressed client video,"ES in these comparisons was
calculated by subtracting AL scores from non-AL
scores and then dividing by the standard deviation of
non-AL scores",,,cohen's d : decrease in AL- decrease in NON AL= 0.68/0.31(SD)= 0.23 (indicating that persons who wrote a response to the video rated as AL evidenced a greater decrease in NA),0.1138,Y,Correlational,NA,IN,r calculated by means and using SD used in article to calculate cohen's D,https://onlinelibrary.wiley.com/doi/abs/10.1002/capr.12124,
Altabef et al. (2017),therapist- split between students currently in graduate school and practitioners in the field .,unknown,71,exposure to emotional distress,emotional reaction to distress,viewing distressed client video,"NA (negative affect), Scale of the
Positive and Negative Affect Scale (PANAS; Watson,
Clark & Tellegen, 1988)
Positive and Negative Affect.",,,"cohen's d  NA pre video- post video= 0.1. M pre= 13.39, M post= 12.99. SD= 3.98",-0.0502,Y,Correlational,NA,IN,r calculated by means and using SD used in article to calculate cohen's D,https://onlinelibrary.wiley.com/doi/abs/10.1002/capr.12124,
Lusk & Terrazas (2015),professionals and para-professionals who work directly with refugees. The majority of the participants were Hispanic,USA,31,"Exposure time: weekly caseloads, years working with migrants, years living in El Paso, and hours per week working with migrants","Secondary Traumatic Stress Scale (STSS) score, Professional Quality of Life Scale  (ProQOL) score","weekly caseloads, years working with migrants, years living in El Paso, and hours
per week working with migrants. didn't mention each exposure group score on these Q's",STSS  and ProQOL - self administered scales,,"
","ProQOL and exposure: rs(31) = .405, p = .024, ProQOL subscale Compassion Satisfaction and years living in El Paso: r(31)= 480, p = .001, and hours per week working with migrants, r(31) = .378, p =.036 ",NA,Y,Correlational,STS,LT,"Measured also positive emotion as an outcome of listening, which was reflected on ProQOL scale. ",,
Lusk & Terrazas (2015),professionals and para-professionals who work directly with refugees. ,USA,31,years living in El Paso,ProQOL scale,NA,ProQOL scale,NA,,"r(31) = 480, p = .001",0.48,Y,Correlational,NA,LT,exposure category wasn't specified,,
Lusk & Terrazas (2015),professionals and para-professionals who work directly with refugees. ,USA,31,hours per week working with migrants,ProQOL scale,NA,ProQOL scale,NA,,"r(31) = .378, p =.036",0.378,Y,Correlational,NA,ST,,,
Lusk & Terrazas (2015),professionals and para-professionals who work directly with refugees. ,USA,31,exposure (wasn't elaborated),ProQOL scale,NA,ProQOL scale,NA,," rs(31) = .405, p = .024",0.405,Y,Correlational,NA,ST,,,
Lusk & Terrazas (2015),professionals and para-professionals who work directly with refugees. ,USA,31,exposure (wasn't elaborated),STSS range,NA,STSS symptoms,NA,,"Respondents in the study reported at least occasionally having trouble sleeping (58%), having intrusive thoughts (77.5%), and having trouble concentrating (51.7%).",NA,Y,Correlational,STS,ST,No r. data available,,
Hargrave et al. (2006),Victim Support volunteer crisis workers,New Zealand,64,Years  of  experience  with Victim Support,secondary traumatic stress (STS) as measured by the IES,"fewer than two years, two to three years, or four or more years.","Impact of Event Scale (IES; Horowitz, Wilner, & Alvarez, 1979)",,0.86,no significant,NA,Y,Correlational,STS,LT,,https://www.tandfonline.com/doi/abs/10.1300/J189v05n02_03#aHR0cHM6Ly93d3cudGFuZGZvbmxpbmUuY29tL2RvaS9wZGYvMTAuMTMwMC9KMTg5djA1bjAyXzAzP25lZWRBY2Nlc3M9dHJ1ZUBAQDA=,
Hargrave et al. (2006),Victim Support volunteer crisis workers,New Zealand,64,Exposure to victims,secondary traumatic stress (STS) as measured by the IES,more rostered hours per month,"Impact of Event Scale (IES; Horowitz, Wilner, & Alvarez, 1979)",,0.86,no significant,NA,Y,Correlational,STS,IN,,,
Hargrave et al. (2006),Victim Support volunteer crisis workers,New Zealand,64,Cases involving death and/or children,secondary traumatic stress (STS) as measured by the IES,"all events were classified into one of three groups: death, sexual/injury, and other","Impact of Event Scale (IES; Horowitz, Wilner, & Alvarez, 1979)",,0.86,"no significant (death and  = r (62) =-.07, p = .62)",-0.07,Y,Correlational,STS,IN,,,
Boasso et al. (2014),Hurricane Katrina survivors,USA,84,PTS symptoms and the level of distress of the speaker,Agitated arousal levels in disaster-exposed individuals after listening to a self-relevant trauma narrative,SCL-90-R,1. POMS (Profile of Mood States). 2. Participant's self report on degree of initial disruption,,POMS (Profile Of Mood States questionnaire): a= .63- .96,"β=462, p < .001",0.462,Y,Correlational,NA,IN,,,
Boasso et al. (2014),Hurricane Katrina survivors,USA,84,symptoms and the level of distress of the speaker,Aggregate measure of agitated affect in listener ,,1. POMS (Profile of Mood States). 2. Participant's self report on degree of initial disruption,,POMS (Profile Of Mood States questionnaire): a= .63- .96,"β = − .258, p < .01 significant",-0.258,Y,Correlational,NA,IN,https://www.dropbox.com/s/45bbick5kccpqxs/Peterson%20and%20Brown%202005%20meta%20analysis%20of%20betas.pdf?dl=0,,
Boasso et al. (2014),Hurricane Katrina survivors high pts symptoms,USA,11,distressed vs recovered woman,agitation,,1. POMS (Profile of Mood States). 2. Participant's self report on degree of initial disruption,,,"M = 2.787 vs M = 1.944, F(1, 77) = 12.947, p = .001",0.56,Y,Correlational,NA,IN,,,
Boasso et al. (2014),Hurricane Katrina survivors low pts symptoms,USA,11,distressed vs recovered woman,agitation,,1. POMS (Profile of Mood States). 2. Participant's self report on degree of initial disruption,,,"distressed: M = 1.498; recovered: M = 1.522, F(1, 77) = .010, p = .920",0.02,Y,Correlational,NA,IN,,,
Roche & Ogden (2017),Samaritans’ listening volunteers,UK,216,hours per week volunteering on listening,measure the health of the participants,Hrs/wk listening,health:using a single item health status measure. ,,,p=0.15,NA,Y,Correlational,NA,ST,,,
Kellas et al. (2015),"College students / college student friend dyads (19–35 years old, M = 20.8, SD = 3.09). 51 men (52%) and 47 women (48%) in same-sex (n = 34, 69.4%) and mixed-sex (n = 15, 30.6%) pairs.",USA,49,Over time,Listeners' psychological helath (Well-Being) over time - negative affect,Comparison between meetings in the lab or over time in general? not clear,PANAS score for negative affect over time between groups - Watson et al. (1988) Positive and Negative Affect Scale(PANAS),,," Significant, F(4,152) = 5.10, p = .001, partial η2 = 12",NA,Y,Experimental,NA,LT,within-subjects effect for time ,https://www.semanticscholar.org/paper/The-benefits-and-risks-of-telling-and-listening-to-Kellas-Horstman/c8ef4ef3e3ce3eceeeecb16452dfdea69c4510fe,"Concentrate on pages: 1, 5, 6 (research question 2), 10 and 15)"
Kellas et al. (2015),"College students / college student friend dyads (19–35 years old, M = 20.8, SD = 3.09). 51 men (52%) and 47 women (48%) in same-sex (n = 34, 69.4%) and mixed-sex (n = 15, 30.6%) pairs.",USA,49,Over time,Listeners' psychological helath (Well-Being) over time - positive affect,"Measurments pre study, post study / Differences between the measurments before and after participation in the study",PANAS score for positive affect over time between groups - Watson et al. (1988) Positive and Negative Affect Scale(PANAS),,,"Significant [pre-study: M=33.92, SD=9.09. Post-study: M29.48, SD=10.12] / also  t(47) = 3.50, p = .001",0.2249,Y,Experimental,NA,LT,Bonferroni method analysis,https://www.semanticscholar.org/paper/The-benefits-and-risks-of-telling-and-listening-to-Kellas-Horstman/c8ef4ef3e3ce3eceeeecb16452dfdea69c4510fe,"Concentrate on pages: 1, 5, 6 (research question 2), 10 and 15)"
Kellas et al. (2015),"College students / college student friend dyads (19–35 years old, M = 20.8, SD = 3.09). 51 men (52%) and 47 women (48%) in same-sex (n = 34, 69.4%) and mixed-sex (n = 15, 30.6%) pairs.",USA,49,Over time,Listeners' psychological helath (Well-Being) over time - negative affect,"Measurments pre study, post study / Differences between the measurments before and after participation in the study",PANAS score for negative affect over time between groups - Watson et al. (1988) Positive and Negative Affect Scale(PANAS),,,"Significant [pre-study: M=15.48, SD=7.05. Day 2: M=14.06, SD=4.75. Day 3: M=12.70, SD= 4.64] / also Day 3 scores on negative affect differed significantly from poststudy reports of negative affect (M = 15.93, SD = 6.72)]",0.2268,Y,Experimental,NA,LT,,https://www.semanticscholar.org/paper/The-benefits-and-risks-of-telling-and-listening-to-Kellas-Horstman/c8ef4ef3e3ce3eceeeecb16452dfdea69c4510fe,"Concentrate on pages: 1, 5, 6 (research question 2), 10 and 15)"
Baird & Jenkins (2003),Trauma Counselors,USA,94,Exposure to client (number of clients and hours per week in the month before survey),Secondary Traumatic Stress,Number of clients per week*Hours per week,TSI-BSL,,,,-0.21,Y,Correlational,STS,ST,,,
Bober & Regehr (2005),Therapists,USA,259,Hours per week spent providing counseling,,Hours per week spent providing counseling,IES,,0.86,,0.31,Y,Correlational,,ST,,,
Brady et al. (1999),Therapists,USA,259,Average no. of survivors of sexual abuse over career,PTSD-like Sympotms,,IES,,0.86,,0.17,Y,Correlational,NA,LT,"Ask Avi how to encode this, there are 3 effects but they are on the same sample of people. I want to remove percentages because they aren't exactly more or less exposure and average the other 2",,
Brady et al. (1999),Therapists,USA,231,Average percent of survivors of sexual abuse out of total cases over career,PTSD-like Sympotms,,IES,,0.86,,0.15,Y,Correlational,NA,LT,,,
Brady et al. (1999),Therapists,USA,284,Exposure to graphic details,PTSD-like Sympotms,,IES,,0.86,,0.21,Y,Correlational,NA,IN,,,
Ackerley et al. (1988),Therapists,USA,562,hours per week working,MBI (EE-emotional exhaustion),,,,,,0,Y,Correlational,BO,ST,,,
Ackerley et al. (1988),Therapists,USA,562,hours per week working,MBI (DP-DePersonalization),,,,,,-0.02,Y,Correlational,BO,ST,,,
Ackerley et al. (1988),Therapists,USA,562,hours per week working,MBI (PA-lack of personal accomplishment),,,,,,0.21,Y,Correlational,BO,ST,,,
Ackerley et al. (1988),Therapists,USA,562,Years working,MBI (EE-emotional exhaustion),,,,,,-0.17,Y,Correlational,BO,LT,,,
Ackerley et al. (1988),Therapists,USA,562,Years working,MBI (DP-DePersonalization),,,,,,-0.15,Y,Correlational,BO,LT,,,
Ackerley et al. (1988),Therapists,USA,562,Years working,MBI (PA-lack of personal accomplishment),,,,,,0.06,Y,Correlational,BO,LT,,,
Adams et al. (2001),mixed caregivers,,185,Hours per week,TSI,,,,,,0.016,Y,Correlational,NA,ST,,,
Adams et al. (2001),mixed caregivers,,185,Hours per week,MBI (EE-emotional exhaustion),,,,,,0.102,Y,Correlational,BO,ST,,,
Adams et al. (2001),mixed caregivers,,185,Hours per week,MBI (DP-DePersonalization),,,,,,0.179,Y,Correlational,BO,ST,,,
Adams et al. (2001),mixed caregivers,,185,Hours per week,MBI (PA-lack of personal accomplishment),,,,,,0.097,Y,Correlational,BO,ST,,,
Adams et al. (2001),mixed caregivers,,185,Years Working,TSI,,,,,,-0.121,Y,Correlational,NA,LT,,,
Adams et al. (2001),mixed caregivers,,185,Years Working,MBI (EE-emotional exhaustion),,,,,,-0.07,Y,Correlational,BO,LT,,,
Adams et al. (2001),mixed caregivers,,185,Years Working,MBI (DP-DePersonalization),,,,,,-0.16,Y,Correlational,BO,LT,,,
Adams et al. (2001),mixed caregivers,,185,Years Working,MBI (PA-lack of personal accomplishment),,,,,,0.274,Y,Correlational,BO,LT,,,
Adams et al. (2006),Social workers,,206,% of clients survivors of violence,CF (long scale -30 items),,,,,,0.065,Y,Correlational,NA,IN,,,
Adams et al. (2006),Social workers,,206,% of clients survivors of violence,CF (short scale),,,,,,0.034,Y,Correlational,NA,IN,,,
Adams et al. (2006),Social workers,,206,% of clients survivors of violence,Work Burnout,,,,,,0.02,Y,Correlational,BO,IN,,,
Adams et al. (2006),Social workers,,206,% of clients survivors of violence,Secondary Trauma Scale,,,,,,0.039,Y,Correlational,STS,IN,,,
Adams et al. (2006),Social workers,,206,9/11 involvement,CF (long scale -30 items),,,,,,0.152,Y,Correlational,NA,IN,,,
Adams et al. (2006),Social workers,,206,9/11 involvement,CF (short scale),,,,,,0.106,Y,Correlational,NA,IN,,,
Adams et al. (2006),Social workers,,206,9/11 involvement,Work Burnout,,,,,,0.145,Y,Correlational,BO,IN,,,
Adams et al. (2006),Social workers,,206,9/11 involvement,Secondary Trauma Scale,,,,,,0.123,Y,Correlational,STS,IN,,,
Adams et al. (2008),Social workers,,234,Years working,Secondary trauma (first 5 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 1.8337 (197-37),0.09,Y,Correlational,STS,LT,,,
Adams et al. (2008),Social workers,,234,Years working,Secondary trauma (second 8 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 1.3266 (198-36),0.08,Y,Correlational,STS,LT,,,
Adams et al. (2008),Social workers,,246,How many clients are victims of violent crimes,Secondary trauma (first 5 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 0.0628 (199-47),0.02,Y,Correlational,STS,IN,,,
Adams et al. (2008),Social workers,,236,How many clients are victims of violent crimes,Secondary trauma (second 8 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 1.554(201-35),0.08,Y,Correlational,STS,IN,,,
Adams et al. (2008),Social workers,,236,Participation in 9/11 counseling,Secondary trauma (first 5 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 1.0972(199-37),0.07,Y,Correlational,STS,IN,,,
Adams et al. (2008),Social workers,,236,Participation in 9/11 counseling,Secondary trauma (second 8 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 0.0731(206-30),0.02,Y,Correlational,STS,IN,,,
Adams et al. (2008),Social workers,,236,Participation in 9/11 counseling,Secondary trauma (second 8 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 13.1103(199-37),0.24,Y,Correlational,STS,IN,,,
Adams et al. (2008),Social workers,,236,Participation in 9/11 Recovery,Secondary trauma (second 8 of 13 in CF scale - cut down from 30 CF scale),,,,,chi sq. = 0.0231(201-35),0.01,Y,Correlational,STS,IN,,,
Ashraf & Nassar (2018),American Muslims,USA,109,Exposure to other peoles trauma,VT (measured by TABS 84 item scale),,,,,"Pillai-Bartlett V= 0.03, F(6, 89)= 0.52, p= 0.79",,Y,Correlational,VT,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,107,Wives of POW not second generation holocaust vs Wives of Prisoners of war also second genration holocaust,Interest age,,,,,"F[1,107] = 6.13, p = .01",0.23,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of second generation holocaust vs not in full sample,Interest age,,,,,"F[1,158] = .42, p = .52",0.05,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of prisoners of war vs Wives not of Prisoners of war,Interest age,,,,,"F[1,158] = 1.05, p = .31",0.08,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of veterans vs Wives of Prisoners of war,Felt age,,,,,"F[1,162] = 2.38, p = .13",0.12,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors vs not,Felt age,,,,,"F[1,162] = .34, p = .56",0.04,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors and POW vs not both,Felt age,,,,,"F[1,162] = .06, p = .81",0.03,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of veterans vs Wives of Prisoners of war,Age appearance,,,,,"F[1,162] = 3.79, p = .05",0.15,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors vs not,Age appearance,,,,,"F[1,162] = 3.29, p = .07",0.14,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors and POW vs not both,Age appearance,,,,,"F [1,162] = .00, p = .99",0,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Wives of veterans vs Wives of Prisoners of war,Behaviour age,,,,,"F[1,160] = 2.23, p = .14",0.12,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors vs not,Behaviour age,,,,,"F[1,160] = .04, p = .85",0.02,Y,Correlational,NA,IN,,,
Bachem et al. (2019),Wives of veternas,Israel,166,Second generation holocaust survivors and POW vs not both,Behaviour age,,,,,"F[1,160] = 3.41, p = .07",0.23,Y,Correlational,NA,IN,,,
Badger et al. (2014),Social workers,USA,121,Years of work,STSS (Secondary traumatic stress scale - Figley 2004),,,,,,-0.19,Y,Correlational,STS,LT,,,
Badger et al. (2014),Social workers,USA,121,Occupational stress (Work related strain inventory),STSS (Secondary traumatic stress scale - Figley 2004),,,,,,0.6,Y,Correlational,STS,ST,,,
Bhutani et al. (2012),Therapists,India,60,Hours of work per day,Burnout + STS (PROQol questionnaire),,,,,,NA,Y,Correlational,BO,ST,Data missing only no significant effect stated,,
Bhutani et al. (2012),Therapists,India,60,Number of patients per day,Burnout + STS (PROQol questionnaire),,,,,,NA,Y,Correlational,BO,ST,Data missing only no significant effect stated,,
Bhutani et al. (2012),Therapists,India,60,Number of emrgency wake ups per Month,Burnout + STS (PROQol questionnaire),,,,,,NA,Y,Correlational,BO,ST,Data missing only no significant effect stated,,
Bober & Regehr (2005),"Caregivers(social workers, doctors and nurses)",Canada,259,Hours per week,STS (IES-Impact of events scale Zilberg(1982)),,,,,,0.25,Y,Correlational,STS,ST,,,
Bober & Regehr (2005),"Caregivers(social workers, doctors and nurses)",Canada,259,Hours per week with heavily traumatized,STS (IES-Impact of events scale Zilberg(1982)),,,,,,0.31,Y,Correlational,STS,ST,,,
Burruss et al. (2017),Investigators into child pornography/exploitaion crimes,USA,360,"Hours per week spent reviewing evidence against the crimes (videos, images emails etc.)",STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,b=2.042 s.e.=0.509 beta=0.221,0.221,Y,Correlational,STS,ST,Exposure is not listening but rather reading/images/videos,,
Choi et al. (2011),Social workers,USA,154,Hours per week with providing services to trauma cases),STSS (Secondary traumatic stress scale - Figley 2004 - 17 items),,,,,B=.082 SE=.066 beta=.095,0.095,Y,Correlational,STS,ST,,,
